Source Image,Target Image,Similarity
https://previews.123rf.com/images/rclassenlayouts/rclassenlayouts1209/rclassenlayouts120900196/15362188-3d-%EC%BB%A4%ED%94%BC-%EC%B9%B4%ED%8E%98-%EC%BD%A9-%EA%B8%B0%EC%97%85%EC%9D%98-%EB%94%94%EC%9E%90%EC%9D%B8-%EC%95%84%EC%9D%B4%EC%BD%98-%EB%A1%9C%EA%B3%A0-%EC%83%81%ED%91%9C.jpg,https://www.shutterstock.com/image-vector/coffee-cup-icon-600w-223212751.jpg,0.3924903
https://drive.google.com/uc?export=download&id=15SFZlK07iWIDUn1NRU7njl_7pU-AlLY1,https://drive.google.com/uc?export=download&id=119biFlAhymgClAAxGTzEQyuhgVtWiXNn,0.15022238
https://previews.123rf.com/images/rclassenlayouts/rclassenlayouts1209/rclassenlayouts120900196/15362188-3d-%EC%BB%A4%ED%94%BC-%EC%B9%B4%ED%8E%98-%EC%BD%A9-%EA%B8%B0%EC%97%85%EC%9D%98-%EB%94%94%EC%9E%90%EC%9D%B8-%EC%95%84%EC%9D%B4%EC%BD%98-%EB%A1%9C%EA%B3%A0-%EC%83%81%ED%91%9C.jpg,https://previews.123rf.com/images/rclassenlayouts/rclassenlayouts1209/rclassenlayouts120900196/15362188-3d-%EC%BB%A4%ED%94%BC-%EC%B9%B4%ED%8E%98-%EC%BD%A9-%EA%B8%B0%EC%97%85%EC%9D%98-%EB%94%94%EC%9E%90%EC%9D%B8-%EC%95%84%EC%9D%B4%EC%BD%98-%EB%A1%9C%EA%B3%A0-%EC%83%81%ED%91%9C.jpg,0.99999994
