Source Image,Target Image,Similarity
C:\Users\DGU_ICE\FindOwn\ImageDesign\page172_image1.png,C:\Users\DGU_ICE\FindOwn\ImageDesign\page172_image2.png,0.8104206
C:\Users\DGU_ICE\FindOwn\ImageDesign\page173_image1.png,C:\Users\DGU_ICE\FindOwn\ImageDesign\page173_image2.png,0.6538205
C:\Users\DGU_ICE\FindOwn\ImageDesign\page174_image1.png,C:\Users\DGU_ICE\FindOwn\ImageDesign\page174_image2.png,0.53837544
C:\Users\DGU_ICE\FindOwn\ImageDesign\page175_image1.png,C:\Users\DGU_ICE\FindOwn\ImageDesign\page175_image2.png,0.3430777
C:\Users\DGU_ICE\FindOwn\ImageDesign\page176_image1.png,C:\Users\DGU_ICE\FindOwn\ImageDesign\page176_image2.png,0.3872422
C:\Users\DGU_ICE\FindOwn\ImageDesign\page177_image1.png,C:\Users\DGU_ICE\FindOwn\ImageDesign\page177_image2.png,0.28418642
C:\Users\DGU_ICE\FindOwn\ImageDesign\page178_image1.png,C:\Users\DGU_ICE\FindOwn\ImageDesign\page178_image2.png,0.9179983
C:\Users\DGU_ICE\FindOwn\ImageDesign\page179_image1.png,C:\Users\DGU_ICE\FindOwn\ImageDesign\page179_image2.png,0.27973408
C:\Users\DGU_ICE\FindOwn\ImageDesign\page180_image1.png,C:\Users\DGU_ICE\FindOwn\ImageDesign\page180_image2.png,0.87312025
C:\Users\DGU_ICE\FindOwn\ImageDesign\page181_image1.png,C:\Users\DGU_ICE\FindOwn\ImageDesign\page181_image2.png,0.9128498
C:\Users\DGU_ICE\FindOwn\ImageDesign\page182_image1.png,C:\Users\DGU_ICE\FindOwn\ImageDesign\page182_image2.png,0.8600499
C:\Users\DGU_ICE\FindOwn\ImageDesign\page183_image1.png,C:\Users\DGU_ICE\FindOwn\ImageDesign\page183_image2.png,0.335075
