Source Image,Target Image,Similarity
C:\Users\DGU_ICE\FindOwn\ImageTrademark\page57_image1.png,C:\Users\DGU_ICE\FindOwn\ImageTrademark\page57_image2.png,0.5755554
C:\Users\DGU_ICE\FindOwn\ImageTrademark\page58_image1.png,C:\Users\DGU_ICE\FindOwn\ImageTrademark\page58_image2.png,0.3627065
C:\Users\DGU_ICE\FindOwn\ImageTrademark\page60_image1.png,C:\Users\DGU_ICE\FindOwn\ImageTrademark\page60_image2.png,0.7214917
C:\Users\DGU_ICE\FindOwn\ImageTrademark\page62_image1.png,C:\Users\DGU_ICE\FindOwn\ImageTrademark\page62_image2.png,0.5929007
C:\Users\DGU_ICE\FindOwn\ImageTrademark\page70_image1.png,C:\Users\DGU_ICE\FindOwn\ImageTrademark\page70_image2.png,0.62992734
C:\Users\DGU_ICE\FindOwn\ImageTrademark\page75_image1.png,C:\Users\DGU_ICE\FindOwn\ImageTrademark\page75_image2.png,0.15355328
C:\Users\DGU_ICE\FindOwn\ImageTrademark\page77_image1.png,C:\Users\DGU_ICE\FindOwn\ImageTrademark\page77_image2.png,0.5740358
C:\Users\DGU_ICE\FindOwn\ImageTrademark\page78_image1.png,C:\Users\DGU_ICE\FindOwn\ImageTrademark\page78_image2.png,0.7108449
C:\Users\DGU_ICE\FindOwn\ImageTrademark\page79_image1.png,C:\Users\DGU_ICE\FindOwn\ImageTrademark\page79_image2.png,0.55597806
C:\Users\DGU_ICE\FindOwn\ImageTrademark\page82_image1.png,C:\Users\DGU_ICE\FindOwn\ImageTrademark\page82_image2.png,0.43641895
C:\Users\DGU_ICE\FindOwn\ImageTrademark\page83_image1.png,C:\Users\DGU_ICE\FindOwn\ImageTrademark\page83_image2.png,0.3208874
C:\Users\DGU_ICE\FindOwn\ImageTrademark\page86_image1.png,C:\Users\DGU_ICE\FindOwn\ImageTrademark\page86_image2.png,0.5321833
C:\Users\DGU_ICE\FindOwn\ImageTrademark\page88_image1.png,C:\Users\DGU_ICE\FindOwn\ImageTrademark\page88_image2.png,0.36297524
C:\Users\DGU_ICE\FindOwn\ImageTrademark\page89_image1.png,C:\Users\DGU_ICE\FindOwn\ImageTrademark\page89_image2.png,0.5893955
C:\Users\DGU_ICE\FindOwn\ImageTrademark\page90_image1.png,C:\Users\DGU_ICE\FindOwn\ImageTrademark\page90_image2.png,0.2668241
C:\Users\DGU_ICE\FindOwn\ImageTrademark\page91_image1.png,C:\Users\DGU_ICE\FindOwn\ImageTrademark\page91_image2.png,0.7058015
C:\Users\DGU_ICE\FindOwn\ImageTrademark\page92_image1.png,C:\Users\DGU_ICE\FindOwn\ImageTrademark\page92_image2.png,0.47109997
C:\Users\DGU_ICE\FindOwn\ImageTrademark\page93_image1.png,C:\Users\DGU_ICE\FindOwn\ImageTrademark\page93_image2.png,0.22344106
C:\Users\DGU_ICE\FindOwn\ImageTrademark\page94_image1.png,C:\Users\DGU_ICE\FindOwn\ImageTrademark\page94_image2.png,0.36137512
C:\Users\DGU_ICE\FindOwn\ImageTrademark\page95_image1.png,C:\Users\DGU_ICE\FindOwn\ImageTrademark\page95_image2.png,0.43007538
C:\Users\DGU_ICE\FindOwn\ImageTrademark\page97_image1.png,C:\Users\DGU_ICE\FindOwn\ImageTrademark\page97_image2.png,0.6195105
